ID	Parameter	English	Chinese	Pinyin	Pla	CW-QY	W-SZP	E-DC	XZ	MD	Eka	YL
670	107.0	duck	鸭子	yāzi	a¹bɛ²					a⁵⁵bɛ²¹	a²⁴bɛ²¹	
671	107.1	duck	鸭子	yāzi	a¹e̠H		ɛ⁴⁴ɛ⁴⁴	ɔ²⁴a³³	ã³³ã³³			
672	107.2	duck	鸭子	yāzi	a¹e̠H	a̤²¹jɛ̠³³						
673	841.0	old	旧	jiù	ʔli¹	ʔʐʅ⁵⁵	li²⁴	li⁵⁵	ʐʅ⁴⁵³	jɛ²¹lɨ⁵⁵	ɛ²¹lɨ²⁴	i³³
674	282.0	kidney	肾/腰子	shèn	di¹	di⁵⁵	di²⁴	ja³³di²⁴zɔ²¹	di²⁴ʔø³³	ma⁵⁵laŋ³³	ɛ²²ma²¹laŋ⁵³	xuo²¹jao³³dzɿ³³
675	717.0	jump; leap	跳	tiào	pɛ̠H	pa̠³³	pɛ⁴⁴	tʰiɔ⁵⁵	tsai²¹	pa̠³³	pa̠³³	bə³³
676	809.0	flat	平 (路很平)	píng	bɛ¹		mi⁴⁴tʰɛ⁵³	bɛ²⁴	bɛ˞²⁴	ta²¹go³³	ta²⁴dɛ³³	bɛ˞³³
677	589.0	slice; cut	切 (切苹果、西瓜)	qiē	bɛ²	bɛ²¹	bɛ²¹	bɛ²¹	bɛ˞²¹	bɛ²¹	bi²¹	tsʰai³³
678	590.0	split; chop; cleave	劈 (劈木柴)	pī	kʰjɛ²	kʰɛ̤²¹	kʰe²¹	kʰɛ²¹	kʰɛ˞²¹	kʰɛ²¹	kʰɛ²¹	kʰɛ˞²¹
679	120.0	toad	癞蛤蟆	chánchú	ʔmu¹pa̠ᶫ	ə⁵⁵pa̠²¹dzaŋ⁵⁵pʰy³³	om²⁴pa⁵³lv̩⁴⁴tsɿ⁴⁴	nɛ³³dɛ³³sɛ³³u⁵⁵pu⁴²	m̩⁴⁵³po³³	u⁵⁵pɑ̠²¹dzo⁵⁵jɛ²¹	o²⁴poʔ²¹ɕi⁵⁵ɕi³³	lai³³tui³³li³¹
680	447.0	chain	链子	liàn	ʃo̠H		kʰɨ⁴⁴ʂu⁴⁴	xə⁵⁵su³³	xu³⁵ʂu³³	tɕɛ⁵⁵mo³³	lu²⁴ku³³tɕɛ²¹	xɨ³³so⁵³
681	436.0	hatchet	斧头	fǔtóu	a¹tsʰo̠H	a⁵⁵tsʰo̠³³	a⁴⁴tsʰu³³	a⁵⁵tsʰu³³	a³³tsʰu³³	a⁵⁵tʃʰu³³	a²⁴tsu⁵⁵kʰuʲ⁵⁵jo³¹	a⁵⁵tsʰu⁵³
682	385.0	beam[small]	梁(小)	liáng	he¹du²	hi⁵⁵dv̩²¹	hẽ²⁴du²¹	wa²¹	hĩ³⁵dɨ˞²¹	a⁵⁵tʃa⁵⁵jo²¹	liaŋ³¹	hein⁴⁴dɤ̪²¹
683	153.0	tusk	长牙	chángyá	dʒɛ¹	dʑɛ⁵⁵	sɛ²¹fɛ²⁴, ɕy²¹fɛ²⁴	dzɛ²⁴	dʐɛ˞²⁴	jɛ²¹dʑɛ⁵⁵	ɕi²¹dʑi²⁴	xu²¹ja²¹
684	698.0	ascend	上 (上山)	shàng	de̠H	dɛ̠³³	de⁴⁴	dei³³	dɛi³³	dɛ³³	di³³lɛ³³	di⁵⁵
685	391.0	field; wet field	田 (稻田)	tián	de¹mi¹	tɕʰi⁵⁵mi⁵⁵	ti²⁴mi³³	tɕʰi⁵⁵tɛ⁵⁵mi³³	di²⁴mv̩˞⁴⁵³	dɛ⁵⁵	dɛ³³	ti³³mi³³
686	558.0	pound	舂/捣碎	chōng/dǎosuì	te²	ti²¹	tɛ²¹	tei²¹	tɛi²¹	tɛ²¹	tɛ²¹	dzɿ²¹
687	588.0	slice; cut	切 (切菜)	qiē	tsʰe̠H	da̠³³	tsʰe³³	ɣə²⁴	tsʰai³³	su³³	su³³	tsʰai³³
688	711.0	exit (come out)	出 (出去)	chū	do̠H	do̠³³	du⁴⁴	du³³	du̠³³	do³³	du³³kuɛ²⁴	du⁵⁵
689	642.0	take out	拿出	náchū	vu¹tʰe̠ᶫ	v̩⁵⁵tʰɛ̠²¹	vv̩²⁴tʰe⁵³	v̩²⁴tʰi³³	vv̩²⁴tʰiɛ˞³³	vu⁵⁵to³³	vu²⁴tua²⁴	vv̩³³tu³³la²¹
690	343.0	father	父亲	fùqīn	a¹ba²	a⁵⁵ti³³	a⁴⁴ba²¹	a⁵⁵bɔ²¹	a³⁵je²¹	a⁵⁵bə²¹	ao³¹	a⁵⁵tiɛ³³
691	344.0	mother	母亲	mǔqīn	a¹ma³	a⁵⁵ma³³	a⁴⁴ma³³	a⁵⁵mɔ³³	a³³mo³³	mə³³	mo³¹	a³³ma⁵³
692	372.0	mother's OS	姨母	yímǔ		ta⁵⁵ma³³	ʝi²⁴mɑ³³	a⁵⁵dɔ²¹mɔ³³	a²¹pa³³ja³³	a⁵⁵ma²¹	a²¹ni²⁴	ji²¹ma³³
693		mother's YS	阿姨	āyí		ʝi¹³ma³³						
694	982.0	how much?	多少?	duōshǎo	a¹ma³	a̤²¹da⁵⁵ma³³sɿ²¹	a⁴⁴ma³³sɿ²¹	a²¹mɔ³³sei²¹	a³³mo³³sɿ²¹	a²¹di³³mo³³	a²¹do²⁴tsʰu²¹mu³³	kʰa³³ma³³
695	977.0	what?	什么?	shénme	a¹tsa¹	a⁵⁵tsa⁵⁵	a⁴⁴tsa⁴⁴	a⁵⁵tsa⁵⁵	a⁴⁴tso⁴⁴	a⁵⁵tsa⁵⁵	tʰa⁵⁵la⁵⁵	a³³tsa⁵³
696	369.0	father's OS	姑妈	gūmā	ku³³ma³³	ku³³ma³³	ku³³ma³³	a⁵⁵ni⁵⁵	a²¹pa³³ja³³	a⁵⁵ti²¹tɕi³³	a²⁴mo³³	ku³³ma³³
697	978.0	where?	哪里?	nǎlǐ	a²di¹	a̤²¹di⁵⁵	a²¹di²⁴	a²¹ka⁵⁵	a²⁴ka⁴⁴	a²¹ta²¹ka⁵⁵, a²¹lɛ²¹ka⁵⁵	a²¹ka²⁴	a²¹di⁵⁵hei³³
698	44.0	yesterday	昨天	zuótiān	a²ʔni³	aŋ³³	an³³, a³³na³³	a²¹nɛ³³	a²¹ɲi³³	a²¹ni³³	a²¹mi²⁴	a²¹ni³³
699	349.0	younger brother of a male	弟弟	dìdi	ɲe¹za²	ɲɛ⁵⁵za̤²¹	ne²⁴za²¹	a⁵⁵tʰei³³	ɲɛ˞²⁴zo²¹	ɲɛ⁵⁵jo²¹	nɛ³⁵jo²¹	ja³³tʰai³³zu⁵⁵pa⁵³
700	349.1	younger brother of a female	弟弟	dìdi	pʰa²maŋ¹							
701	350.1	younger sister of a female			ɲe¹ma³	ɲi⁵⁵ma³³	ny²¹ma³³	niɛ²⁴mɔ³³	ɲɛ˞²⁴mo³³	ɲɛ⁵⁵mo³³	nɛ²⁴mo³³	
702	340.0	father's mother	奶奶	nǎinǎi	a²ne³	a⁵⁵ɲi³³	a⁴⁴nei³³	a⁵⁵nai³³	a³³nɛi³³	a⁵⁵nai²¹, a²¹pʰi²¹	a²⁴pʰi²¹	a⁵⁵nai³³
703	339.0	father's father	爷爷	yéyé	a²pa¹	a⁵⁵ku³³	a²¹pa²⁴	a²¹pɔ⁵⁵	a²¹pu⁵³	a²¹po⁵⁵	a²⁴po²⁴	a²¹pa³³
704	371.0	mother's OB	舅舅	jiùjiù		a⁵⁵tɕo⁵⁵	a⁴⁴tɕiu⁴⁴	a⁵⁵tɕo⁵⁵	a⁴⁴tɕiu⁴⁴	a⁵⁵tɛ²¹	a²¹ɣɨ²⁴	a²¹tɕo⁵³
705	361.0	brother's son	侄子	zhízi	za²du¹	za̤²¹də⁴⁵	za²¹dv̩²⁴	su⁴²dɤ̪²⁴	zo²¹dv̩˞²⁴	da⁵⁵du²¹	duʲ³⁵jo⁴²	za²¹do³³
706	362.0	brother's daughter	侄女	zhínǔ	za²mɛ²du¹	zɛ̤²¹mɛ̤²¹də⁴⁵	za²¹mɛ²¹dv̩²⁴	su⁴²mɔ³³	za²¹mɛ˞²¹dv̩˞²⁴	da⁵⁵mo³³	du²⁴mo³³	za²¹mɛ²¹do³³
707		bros' child (Mvpt)	侄子/侄女	zhízǐ/zhinǚ								
708	45.0	day before yesterday	前天	qiántiān	ʃi̠Hʔni³	ʂəŋ³³	ʂɛ̃n³³, ʂʅ³³na³³	sɿ³³nɛ³³	ʂʅ³³ɲi³³	ɕi³³ni³³	sɿ⁵⁵mi²⁴	sɿ³³ni³³
709	350.0	younger sister of a male	妹妹	mèimei	ʔny²ma³		ne²⁴ma³³					ja³³tʰai³³za²¹mɛ˞²¹
710	976.0	who?	谁?	shuí	a²sa²	a̤²¹sa̤²¹	a²¹sa²¹	a²¹sa²¹	a²¹so²¹	a²¹so²¹	a²⁴tʰaŋ²¹lɛ³³	a²¹sa²¹
711	367.0	father's OB	伯父	bófù	ta⁵⁵tiɛ³³	pa²¹ti̤²¹	ta⁴⁴ta⁴⁴	a⁵⁵ta⁵⁵	ta⁵⁵ti³³	a⁵⁵jɛ²¹	a²⁴jɛ²¹	ta⁵⁵tiɛ³³
712	348.0	older sister	姐姐	jiějie	a¹tse²	a⁵⁵tsi̤²¹	a⁵⁵tse²¹	a⁵⁵tɕi³³	a³⁵tse²¹	a⁵⁵tɕi³³	tɕi²¹	a⁵⁵tɕiɛ²¹
713	347.0	older brother	哥哥	gēge	a¹ka¹	a⁵⁵ka³³	a⁴⁴ka³³	a⁵⁵kɔ³³	a³³ko³³	a²¹a⁵⁵	a²¹zu²⁴	a⁵⁵kɨ³³
714	477.0	road	路	lù	gja¹ma³ 	ga⁵⁵ma³³	ga²⁴ma³³	gɔ²⁴mɔ³³	gu²⁴mu³³	go⁵⁵kɑ³³	go²⁴mo³³	
715	477.1	road	路	lù	gja¹ka³			gɔ²⁴kə³³		go⁵⁵kɑ³³		
716	477.2	road	路	lù	ka³kɨ̠H						ka²⁴kə³³	ka³³kɨ⁵³
717	274.0	armpit	腋下/腋窝	yèxià	ka²	lɛ̠²¹ta̠²¹i⁵⁵ta⁵⁵kʰə³³	lɛ⁵⁵ka²¹tsɿ³³	ti⁵⁵ku⁴²li³³	lɛi³³da⁴⁴kʰɤ̪˞³³	li²¹ku²¹lɛ³³	pʰa³³kua²⁴	tsɛ˞²¹tsɛ˞⁵⁵kʰo³³
718	728.0	roast (over fire)	烤(火上)	shāokǎo	kaŋ¹	ka⁵⁵, kʰaŋ⁵⁵	ku²⁴	ka⁵⁵	ka⁵⁵	xõ⁵⁵, xu⁵⁵	oŋ²⁴	ku³³
719	207.0	rice (grains)	米	mǐ	dza²kʰa¹	dza²¹kʰa⁵⁵	dza²¹kʰa⁴⁴	tɕʰi⁵⁵fɤ̪⁵⁵	tɕʰi⁵⁵pʰᶠɤ̪˞̪⁵³, dzo²⁴kʰɤ̪˞⁵³	dzo²¹kʰo⁵⁵	dzo²¹kʰo²⁴	tɕʰi⁵⁵fv̩³³
720	513.0	pipe (yuantong)	烟筒	yān		jan³³tʰoŋ²¹	lao²¹pian⁴⁴tʰoŋ²¹	lɔ²¹mə⁵⁵tʰo²¹	lao²¹piɛn⁴⁴tʰoŋ²¹	a⁵⁵kʰɨ²¹a³³da³³	a²⁴lu³³sa²¹bo²⁴po̠²¹	jo³³jo³³ta⁵⁵tʰoŋ²¹tʰoŋ²¹
721	437.0	hoe (large)	锄头	chútóu	tse²	tsi²¹tsʰo̠³³	tsei²¹tsʰu³³	tsei²¹mɔ³³	tsɛi²¹tʂʰɛ˞³³	tɕɛ²¹mo³³	tɕʰi²¹tsʰu³³	tsai²¹
722	395.0	granary	仓（装粮食的柜子）	liángcāng	gɨ¹tʰu²	ha⁵⁵sɛ²¹gɨ²¹tʰə²¹	ka⁴⁴	gɤ̪²¹	ɣa²⁴	dʒo⁵⁵ka²¹	xio⁵³	
723	792.0	defecate	解大便	zuòdàbiàn	kʰji²ɛ²	tsʰɿ²¹ɛ̤²¹	tsʰɿ²¹ɛ̃˞²¹	tɕʰi²¹xɔ⁵⁵	tsʰɿ²¹ɛ̃˞²¹	ɛ²¹	tɕʰi²¹ɛ²⁴	tsʰɿ²¹ɛ˞²¹
724	792.1	defecate	解大便	zuòdàbiàn	kʰji²ɛ²	tsʰɿ²¹ɛ̤²¹	tsʰɿ²¹ɛ̃˞²¹	tɕʰi²¹xɔ⁵⁵	tsʰɿ²¹ɛ̃˞²¹	ɛ²¹	tɕʰi²¹ɛ²⁴	tsʰɿ²¹ɛ˞²¹
725	239.0	gums	齿龈	chǐyín		sy²¹ɦa⁵⁵kʰə⁵⁵tɕi³³	ɕy²¹tɕi³³	sə²¹dɔ²¹	sy²¹no²¹gɨ²⁴, sy²¹tɕi³³	soŋ²¹ko⁵⁵xo²¹	ɕi²¹xou²⁴	
726	244.0	throat	喉咙	hōulóng	ly¹tʰy³	ly⁵⁵tʰy³³	le³³wo⁴⁴tʰy³³	lə²⁴tʰə³³	saŋ²¹ko³³lo³³	lɨ⁵⁵bɨ⁵⁵kʰoŋ³³kʰoŋ³³	kɨ²¹tʰə²⁴dzo³³	jĩ³³tʰə²¹
727	290.0	sweat	汗	hàn	kjɛ²	kɨ²¹	kɛ²¹	kiɛ²¹ji²⁴	kɛ˞²¹	kɛ²¹	kɨ²¹ɣɨ²⁴	kɛ˞²¹
728	641.0	load; pack (put in)	装 (装进袋里)	zhuāng	kɛ³	kɛ³³	kɛ³³	kɛ³³	kɛ˞³³	kɛ³³	kɛ³³	ho³³
729	617.0	wear (hat); put on (hat)	戴 (帽子)	dài	kʰo̠H	kʰo̠³³	kʰo⁴⁴	də⁴²	kʰu³³	kʰu̠³³	kʰu̠³³	tɨ⁵³
730	70.0	this evening	今晚	jīnwǎn	i²mi¹	i²¹mi⁵⁵	i²¹mi²⁴	i²¹mi²⁴	y²¹my²⁴	ɪ²¹mi⁵⁵	i²¹mi²⁴la²¹vaŋ⁵³	n̩²¹ti⁵⁵sa³³pʰi³³
731	70.1	this evening	今晚	jīnwǎn	i²mi¹	i²¹mi⁵⁵	i²¹mi²⁴		y²¹my²⁴	ɪ²¹mi⁵⁵	i²¹mi²⁴la²¹vaŋ⁵³	n̩²¹ti⁵⁵sa³³pʰi³³
732	852.0	sour	酸	suān	tʃe¹	tɕi⁵⁵	tɕi²⁴	tɕi⁵⁵	tɕi⁴⁵³	tɕi⁵⁵	tɕi²⁴	tsei³³
733	240.0	tongue	舌头	shé	ʔla¹	ʔla⁵⁵	la⁴⁴	lɔ⁵⁵	lo⁴⁵³	lɛ⁵⁵pɛ⁵⁵	lo²⁴	la³³
734	494.0	soul (1)	魂	hún	ʔxa¹	ha⁵⁵	hã²⁴	tsʰa⁵⁵xɔ⁵⁵	hõ⁴⁵³	a⁵⁵ɣɨ³³	ɛ²¹xo²⁴	ha⁵⁵ɣɨ³³
735	39.0	flame	火焰	huǒyàn	a¹to̠ᶫʔly¹	a⁵⁵to̠²¹ʔly⁵⁵	a⁴⁴tuʔ⁵⁵ba³³	a⁵⁵tu̠⁵²lə⁵⁵	a³³tu³³li⁵³	a⁵⁵to²¹lə⁵⁵	a²⁴tu̠³¹xə²¹	a⁵⁵tu⁵⁵pʰai⁵⁵
736	596.0	graze; herd (a flock)	放牧	fàngmù	ʔlo̠ᶫ	lo̠²¹	lu⁵³	lu⁴²	lu̠³³	luɛ̠³³	luʲ²²i³³, luʲ²⁴	i³³
737	848.0	hot (temp.)	热	rè	tsʰa¹	tsʰa⁵⁵	tsʰa²⁴	ə²¹, tsʰɔ⁵⁵	tsʰo⁴⁵³	tsʰo⁵⁵	tsʰo²⁴	tsʰa³³
738	489.0	name	名字	míngzi	ʔmi¹	ʔmi⁵⁵	ĩ⁵³	mi⁵⁵	mĩ²¹tsɿ⁵⁵	mi⁵⁵kʰu⁵⁵	ɛ²¹tsɿ³³	mi⁴⁴ʂɛ⁵³
739	685.0	forget	忘记	wàngjì	ma²xa̠ᶫ	ma²¹xa̠²¹	ma²¹hã⁵³	ma²¹xu⁴²ji³³	a²¹xo³³huɛi²¹	mɑ²¹xɑ̠²¹ji³³	lɨŋ⁵³gao³³	i³³pʰi³³
740	834.0	good	好 (东西好)	hǎo	mɛ²	da⁵⁵	da²⁴	tue⁴²	mɛ˞²¹	na⁵⁵	mɛ²¹	kai³³
741	18.0	earth-1	地 (大地/草地)	dì	ʔmi¹di²	mi⁵⁵	mi²⁴di²¹	mi²⁴	n̩³⁵³di²¹	mi⁵⁵mo³³loʔ³³	mi²⁴kʰa²¹	ai³³tsʰɿ²¹bə³³
742	18.1	earth-2	地 (大地/草地)	dì	ʔmi¹di²	mi⁵⁵	mi²⁴di²¹	mi²⁴	n̩³⁵³di²¹		mi²⁴kʰa²¹	ai³³tsʰɿ²¹bə³³
743	189.0	taro	芋头	yùtóu	a¹tʃʰo̠H	a⁵⁵tʂʰo̠³³	a⁴⁴tʂʰu⁴⁴	tsʰo³³, tsʰu³³	sɿ³³tɕʰi³³			
744	189.1	taro	芋头	yùtóu	bi²					bɨ²¹	bi²¹za²⁴	bi²¹tʰo³³
745	300.0	body hair; feathers	毛(翎毛)	(líng)máo	tsʰy¹	tsʰy⁵⁵	tɕʰy²⁴	n̩²¹tsʰə⁵⁵	tsʰy⁴⁵³	ja²¹tʃʰɿ⁵⁵	tɕi²⁴gu²¹muʲ⁵⁵jo³¹	
746	75.0	field cow	黄牛	huángniú	a¹ni²ʃɛ¹	a⁵⁵ŋ̩²¹	an⁵¹ʂɛ˞²⁴	la²¹ni⁵⁵	a³⁵ɲi²¹ʂɛ˞⁵³	a⁵⁵ni²¹	a²⁴ni²¹	a⁴⁵ni⁵³sɛ˞³³
747	519.0	listen	听	tīng	ʔna¹	ʔna⁵⁵	na⁴⁴	nɔ⁵⁵	no⁴⁵³	no⁵⁵	go²¹	na³³
748	905.0	NARROW	窄	zhǎi	ʔɲa̠ᶫ					ɲɑ̠³³		
749	908.0	DEEP	深 (水深)	shēn	ʔne̠ᶫ	nɛ̠²¹	nɛʔ⁵³	nei⁴²		nɛ̠²¹	ni̠²¹	nai⁵³
750	959.0	that (higher)	那 (上位)		na(ŋ)¹	nao⁵⁵	na⁴⁴ma³³	nu⁵⁵mɔ³³	na⁴⁵³ja³³	nə⁵⁵	no³³mo²⁴	nə³³ja⁵³
751	860.0	stinky	臭	chòu	by²ny¹	by²¹ny⁵⁵	by²¹ny²⁴		by²¹ny²⁴			
752		tongs	钳子	qiánzi		hʷo²¹tɕa⁵⁵						
753	800.0	red	红	hóng	ʔni¹	ʔɲi⁵⁵f̩²¹	i⁵⁵fv̩²¹	ni⁵⁵	ĩ⁴⁵³	ni⁵⁵	ni²⁴	ʔi³³
754	803.0	green	绿	lū	ʔni¹	ʔɲi⁵⁵tʂʅ³³	ni⁴⁴kʰɨ⁵³	lə³³		kʰɛŋ⁵⁵, kʰi⁵⁵mu²¹	ɛ²¹nio⁵³	lo⁵³
755	899.0	LOW	低	dī	ʔni¹	ai̠²¹	dɛ²⁴	ʝi³³	ɛi³³	ni⁵⁵	ə²⁴	tɕi³³
756	462.0	pot; pan; wok	锅 (炒菜的)	guō	a²tʃʰɛ¹	a⁵⁵tɕʰɛ⁵⁵	a⁴⁴tʂʰɛ⁴⁴	a⁵⁵tsʰɛ⁵⁵	a³³tʂʰɛ˞⁴⁵³	a⁵⁵tsʰa⁵⁵pɛ³³	a²⁴tɕʰɛ²⁴	a²¹tsʰɛ˞³³
757	972.0	beneath	下面	xiàmiàn		ṳ²¹si⁵⁵,da⁵⁵kʰə³³	u⁵⁵se⁴⁴	tɕʰi⁵⁵kʰə³³	da²⁴kʰɤ̪˞³³	tɨ²¹xɨ⁵⁵	ɛ²¹dai²⁴	ta³³lai²¹
758	796.0	exchange	交换	jiāohuàn	pa¹	pa⁵⁵	pa²⁴	pɔ⁵⁵	po⁴⁵³	po⁵⁵	po²⁴xɛ³³	pa³³
759	373.0	male suffix	公的		jaŋ²pa̠ᶫ	pa̠²¹	pa⁵³	ja³³pu⁴²	ja³³po³³mo³³	jɛ²¹pɑ̠²¹	ɛ²¹pʰv̩²⁴,ɛ³³po̠ʔ²¹	ja²¹pa⁵³
760	130.0	roach	蟑螂	zhāngláng		pʉ⁵⁵tʂʅ̠²¹	lu⁵⁵tsu²¹dzɿ²¹	ta³³kʰa³³za²¹	lu³⁵tsu²¹dy²¹	me³³sæ⁵⁵la⁵⁵	dzo²⁴xa̠ʔ²¹mo³³	tsao⁴⁴m̩²¹tʂɛ˞³³
761	242.0	chin	下巴	xiàbā	mu²pɨ¹daŋ¹	n̩²¹la³³dzɿ³³	m̩²¹bɨ⁴⁴dy⁴⁴/⁵⁵	m̩²¹pə⁵⁵da³³dzɿ³³	m̩²¹pɨ⁵⁵ku³³	m̩²¹pɨ⁵⁵	ɛ²¹mə³³pĩ²²ŋa²¹	ɕa³³ba³³kʰo³³
762	624.0	comb	梳 (梳头)	shū	pjɨ²	pʉ²¹	pɨ²¹	kʰɔ³³	pɨ²¹	pɨ²¹	pɨ²¹	pai²¹
763	101.0	porcupine	豪猪/箭猪	háozhū/jiànzhū	pu¹		ɛ²¹ve⁵³	kɤ̪⁵⁵	hɛ̃˞³³dzɛi²¹	pu⁵⁵	a²⁴pu²⁴	pv̩³³
764	48.0	tomorrow	明天	míngtiān	a²gy¹ʔni³	a²¹gy⁵⁵n̩³³	ɛ²¹goŋ⁴³	a²¹gə²⁴nɛ³³	ɛ²¹gu²⁴ɲi³³	a²¹gɨŋ⁵⁵	a²¹gi²¹ni²⁴	ɛ²¹gɨ³³mi³³
765	691.0	can (well)	会 (会做)	huì	kʰɛ¹	kʰɛ⁵⁵	kʰɛ²⁴	kə⁴²	kʰɛ˞⁴⁵³	kʰɛ⁵⁵	dʑɛ²¹kʰɛ²⁴	kʰɛ˞³³
766	41.0	night	夜	yè	he̠ᶫ	hɛ̠²¹	hɛ̃ʔ⁵⁵	xei⁴²	xai³³	xɛ̠²¹	ŋ̩³³kə²¹ɕi²⁴	xai⁵⁵
767	27.0	cliff	悬崖		ɣɛ̠̠ᶫ	va̠²¹tsɿ̠²¹	lu²⁴di³³; vɛ⁵³tsɿ³³	wa⁴²bɔ²¹tʰɛ⁵⁵	ɣɛ˞̠³³dʑi²⁴	va²¹kʰu²¹	va̠²¹tɕi²¹	i⁵⁵kʰɛ˞⁴²
768	963.2	in front	前面	qiánmiàn	u²si¹				wu²¹ɕi⁵⁵	wo²¹sɛ⁵⁵	sa⁵⁵pə²¹	ɣɨ²¹hei³³
769	963.0	in front	前面	qiánmiàn		ʔɲi²¹di²¹	wu⁴⁴bɛ/y²¹	ə²¹sə⁵⁵	wu²¹ɕi⁴⁴	wo²¹sɛ⁵⁵	sa⁵⁵pə²¹	ɣɨ²¹hei³³
770	963.1	in front	前面	qiánmiàn	u²by²	ʔɲi²¹di²¹	wu⁴⁴bɛ/y²¹				sa⁵⁵pə²¹	
771		stand up	站起来			hø̠²¹						
772	758.0	begin; start	开始	kāishǐ	tu¹		mu⁴⁴to³³	mɤ̪⁵⁵tɤ̪⁵⁵	mɤ̪˞⁴⁵³	ko⁵⁵mə⁵⁵	sa⁵⁵pə²¹	pai⁵⁵ta³³
773	635.0	put down; put/place	放 (下) [放置]	fàng(xià) [fàngzhì]	ta̠ᶫ	ta̠²¹	pʰy²¹ta⁵³	nɔ²¹	to̠⁴⁴	to³³	to̠ʔ²¹	pʰɨ²¹
774	586.1	plant; grow	种/栽秧	zhòng	tɛ¹	tɛ⁵⁵	tɛ²⁴	tɛ⁵⁵	tɛ˞⁴⁵³	tɛ⁵⁵	tɛ²⁴	tɛ˞³³
775	938.0	thousand	千	qiān	tu¹	tə⁵⁵	tv̩²⁴	tɤ̪⁵⁵	kɨ⁴⁵³	xɛn⁵⁵	ɛ²¹xĩn⁵³	tɕʰĩ³³
776	224.0	head hair	头发	tóufà	n̩²tsʰy¹	n̩²¹tsʰy⁵⁵	n̩²¹tɕʰy²⁴	n̩²¹tsʰə⁵⁵	n̩²¹tsʰy⁴⁵³	n̩²¹də⁵⁵tsʰə⁵⁵	ŋ̩²¹tsʰə²⁴	n̩²¹tsʰə³³
777	401.0	hat	帽子	màozi	nu²tsi²	n̩²¹tsɿ²¹	n̩³²tsɿ²¹	kʰa²¹tʰu⁵⁵	n̩²¹tsɿ²¹	a²¹tsu²¹	ɛ³³tsu²¹	n̩²¹tsɿ²¹
778	241.0	beard; mustache	胡子	húzi	tsʰi̠H	n̩²¹tsʰɿ̠³³	n̩²¹tsʰɿ⁴⁴	n̩²¹tsʰɿ³³	n̩²¹tsʰɿ³³	m̩²¹pɨ⁵⁵tʃʰɿ³³	doŋ²¹tsʰɿ³³	fv̩²¹tsɿ³³
779	771.0	be standing	站 (站位)	zhàn	hy̠ᶫ	hø̠²¹	ɸy⁵³	xə⁴²	hø̃⁴⁵³	xɑ̠²¹	xi̠⁵³	xɨ⁵³
780	283.0	intestines	肠子	chángzi	he̠ᶫvu¹	hɛ̠²¹v̩⁵⁵	xɛ⁵⁵vv̩³³	xei⁴²vɤ̪²⁴	xai⁴⁴vv̩²⁴	xo²¹wu⁵⁵	ɛ²¹vɨi⁵⁵jo³¹	xai⁵⁵vv̩³³
781	535.0	say	说	shuō	be̠H 	bɛ̠³³	bɛ⁴⁴	bei³³	bi³³	bɛ̠³³	tʰɨ²⁴	bei⁵³
782	789.0	hiccup	打嗝	dǎgé	ɨ̠H	ti⁵⁵kɨ³³ɦou²¹mʉ³³	kɨ²⁴dɛ²¹	ə³³tə²¹	ɨ⁴⁵³tɨ³²dɛ˞²¹	ɛ³³fu³³kɨ³³	a²⁴kʰə̠³³ʔə̠²¹	ɨ²¹m̩³³
783	449.0	winnowing basket	簸箕 (簸米用)	bòji	ʔva¹	ʔva⁵⁵ma³³	le⁴⁴va⁴⁴	ɔ⁵⁵mɔ³³	lɛi³³o⁵³	o⁵⁵mo³³	o²⁴mo³³	oaŋ³³
784	614.0	winnow with a fan	簸 (簸米)	bǒ	ʔva¹	ʔva⁵⁵	va⁴⁴	ɔ⁵⁵	ou⁴⁵³	o⁵⁵	o²⁴	oaŋ³³
785	981.0	how?	怎么?			a̤²¹da⁵⁵si³³,a̤²¹sɿ⁵⁵	ɛ̃²¹hẽ²⁴	a²¹sei³³	a²¹dɛ˞²⁴	a²¹dɛ⁵⁵pɛ⁵⁵	a²¹da²⁴	a²¹kʰə²¹lə³³
786	745.2	birth	生 (生孩子)	shēng	hu¹							ho³³
787	745.0	birth	生 (生孩子)	shēng	bɛ³						ba³³	
788	745.1	birth	生 (生孩子)	shēng	dza¹			dza²⁴		tsa⁵⁵		
789	745.3	birth	生 (生孩子)	shēng	ka²		ka²¹		kʰɨ⁴⁵³			
790	745.4	birth	生 (生孩子)	shēng	tsʰy²	tsʰy²¹						
791	427.0	liquor	酒	jiǔ	dʒi¹	dʐʅ⁴⁵	dʐʅ²⁴	dzɿ²⁴bɛ²¹	dʐʅ²⁴	dʑi⁵⁵	dʑi²⁴	dzɿ³³
792	161.0	wheat	小麦	xiǎomài	ʃa¹	ʂa⁵⁵	ʂa²⁴	sɔ⁵⁵	ʂo⁴⁵³	kʰa²¹ɕɛŋ⁵⁵	so²⁴	sa³³
793	231.0	nose	鼻子	bīzi	ʔna¹kʰaŋ²/³	ʔna⁵⁵kʰə³³	na⁴⁴kʰv̩³³	na⁵⁵kʰɤ̪³³	nɨ˞⁴⁵kʰɤ̪˞³³	no⁵⁵kʰu³³	na²⁴kʰv̩²¹	na⁵⁵kʰo²¹
